time,fx,fy,fz,fn_sum,fworld_mag,ncon,freewheel_vel,drive_vel
0.22800000000000017,718.23838912408564,330.68184657229585,1489.2601208989734,1653.4092328614793,1686.1531884630322,2,-0.24023848324776187,0.23478112203886789
0.22900000000000018,559.31589009036634,259.38373356801463,1170.1127151195694,1296.9186678400731,1322.6027189718582,1,-0.24211579045695125,0.23470509938283526
0.23000000000000018,458.89708899953354,213.07228697078395,961.46162096141768,1065.3614348539197,1086.4597490698691,1,-0.24359263267337852,0.23505493553175766
0.23100000000000018,0,0,0,0,0,0,-0.24321969910117905,0.23735502689412166
0.23200000000000018,0,0,0,0,0,0,-0.24284733647994697,0.23965511790378546
0.23300000000000018,682.37191756350001,314.26210892443885,1415.4099737396259,1571.3105446221941,1602.4286257885349,1,-0.24516756925251182,0.23906227669778712
0.23400000000000018,499.50805855430031,222.80046592533591,995.73735987607836,1114.0023296266795,1136.0639233908521,1,-0.24670096288463492,0.2393591362749157
0.23500000000000018,579.95034800761437,267.53964612999874,1205.4435491262009,1337.6982306499938,1364.1898762765722,1,-0.24862140126845014,0.23919985390286733
0.23600000000000018,0,0,0,0,0,0,-0.24824076879084725,0.24149994462964197
0.23700000000000018,0,0,0,0,0,0,-0.24786071905102261,0.2438000350037165
0.23800000000000018,597.36603880467214,276.24753913858723,1245.3800173786101,1381.2376956929361,1408.591592649643,1,-0.2498634693327528,0.24356566386957473
0.23900000000000018,0,0,0,0,0,0,-0.24948093528335336,0.24586575392688811
0.24000000000000019,618.1117390378397,286.00538588657275,1289.540575928808,1430.0269294328637,1458.3470436282687,1,-0.25156772847646514,0.24554318454411808
0.24100000000000019,0,0,0,0,0,0,-0.25118258525353099,0.24784327429819483
0.24200000000000019,0,0,0,0,0,0,-0.25079803167420128,0.25014336369957163
0.24300000000000019,0,0,0,0,0,0,-0.25041406683574796,0.25244345274824848
0.24400000000000019,0,0,0,0,0,0,-0.25003068983682503,0.25474354144422551
0.24500000000000019,0,0,0,0,0,0,-0.24964789977746649,0.25704362978750273
0.24600000000000019,0,0,0,0,0,0,-0.24926569575908411,0.25934371777808018
0.24700000000000019,1002.714022835318,462.40868490331161,2083.292918736985,2312.0434245165579,2357.8309075767634,1,-0.25285581717443645,0.25739381744052153
0.24800000000000019,0,0,0,0,0,0,-0.25246870192339055,0.25969390537740056
0.24900000000000019,0,0,0,0,0,0,-0.25208217933506949,0.26199399296157994
0.25000000000000017,0,0,0,0,0,0,-0.25169624850212302,0.26429408019305967
0.25100000000000017,0,0,0,0,0,0,-0.25131090851859006,0.2665941670718398
0.25200000000000017,1138.2070207104127,525.12879491328465,2366.1130698220004,2625.6439745664229,2677.641972412302,1,-0.25544081901817067,0.26407048819017226
0.25300000000000017,1013.9151508355106,467.84128077586251,2108.0471215929183,2339.2064038793123,2385.5318199403637,1,-0.25907285356561166,0.2620736447390864
0.25400000000000017,849.56526816265318,392.04293014165455,1766.544743838399,1960.2146507082725,1999.0345509583894,1,-0.26204815751319976,0.26077338949420398
0.25500000000000017,773.70721986893875,357.07123743611072,1608.9977790620351,1785.3561871805534,1820.7132074294509,1,-0.26471873065610363,0.25979469393988192
0.25600000000000017,640.30960658561889,295.53738034713172,1331.7515486288346,1477.6869017356585,1506.9508693861171,1,-0.26685641302503466,0.25938138865666915
0.25700000000000017,594.84379072950856,274.57813823142754,1237.3316913812855,1372.8906911571378,1400.0792848480264,1,-0.26881093150546209,0.25916080318404588
0.25800000000000017,555.9055008344709,256.62558676529801,1156.4542224869142,1283.1279338264899,1308.5388746034528,1,-0.27060834034070075,0.25910527435315028
0.25900000000000017,0,0,0,0,0,0,-0.27019404646849837,0.2614053620275914
0.26000000000000018,539.10500200562228,248.91859412488384,1121.7742461566118,1244.5929706244192,1269.240768738865,1,-0.27192388463507711,0.26142115056483572
0.26100000000000018,0,0,0,0,0,0,-0.2715075767010055,0.26372123788415613
0.26200000000000018,0,0,0,0,0,0,-0.27109190612284767,0.26602132485077695
0.26300000000000018,0,0,0,0,0,0,-0.27067687192482937,0.26832141146469823
0.26400000000000018,0,0,0,0,0,0,-0.27026247313267027,0.27062149772592003
0.26500000000000018,0,0,0,0,0,0,-0.26984870877358158,0.27292158363444241
0.26600000000000018,0,0,0,0,0,0,-0.26943557787626382,0.27522166919026542
0.26700000000000018,909.75664142077994,420.3133463953975,1894.4459829573439,2101.5667319769873,2143.1859550936151,1,-0.27264723398767376,0.27366768289259175
0.26800000000000018,769.14561426854164,355.38443892957361,1601.8325473917873,1776.9221946478679,1812.1121889291189,2,-0.27529474611154175,0.27270946704858789
0.26900000000000018,0,0,0,0,0,0,-0.27487327748193513,0.27500955263693722
0.27000000000000018,0,0,0,0,0,0,-0.27445245410912417,0.27730963787258722
0.27100000000000019,805.17477581113599,372.13528697609638,1677.4416161872896,1860.6764348804818,1897.5250899875659,2,-0.27724358907641139,0.27619910322971619
0.27200000000000019,0,0,0,0,0,0,-0.27681913682221571,0.27849918828295833
0.27300000000000019,786.56818335290484,363.60885917557215,1639.0837546357836,1818.0442958778606,1854.0486682514534,2,-0.27953444184672183,0.27746770155657807
