Time,X,Y,Z
0,0,150,0
0.001,-0.00044970000898733034,150.00000299732591,0
0.002,-0.0017976001435732283,150.00001197322877,0
0.0030000000000000001,-0.0040419007255977878,150.00002689154348,0
0.0040000000000000001,-0.0071808022889856427,150.00004770012032,0
0.0050000000000000001,-0.011212505577120739,150.00007433093259,0
0.0060000000000000001,-0.016135211539758207,150.00010670018378,0
0.0070000000000000001,-0.021947121329480051,150.00014470841444,0
0.0080000000000000002,-0.028646436297701229,150.00018824060908,0
0.0090000000000000011,-0.036231357990232881,150.00023716630264,0
0.01,-0.044700088142408896,150.00029133968681,0
0.010999999999999999,-0.054050828673782997,150.00035059971614,0
0.012,-0.064281781682402131,150.00041477021387,0
0.013000000000000001,-0.075391149438663055,150.00048365997756,0
0.014,-0.087377134378758409,150.00055706288461,0
0.014999999999999999,-0.1002379390977188,150.00063475799735,0
0.016,-0.11397176634205697,150.000716509668,0
0.017000000000000001,-0.12857681900202059,150.00080206764349,0
0.018000000000000002,-0.14405130010345973,150.00089116717004,0
0.019,-0.1603934127993159,150.00098352909723,0
0.02,-0.17760136036073776,150.00107885998239,0
0.021000000000000001,-0.19567334616783075,150.00117685219428,0
0.021999999999999999,-0.21460757370004591,150.00127718401677,0
0.023,-0.23440224652621497,150.00137951975222,0
0.024,-0.2550555682942367,150.00148350982494,0
0.025000000000000001,-0.27656574272042128,150.00158879088369,0
0.026000000000000002,-0.29893097357849818,150.001694985905,0
0.027,-0.3221494646882947,150.00180170429533,0
0.028000000000000001,-0.34621941990408928,150.00190854199349,0
0.029000000000000001,-0.37113904310264617,150.00201508157301,0
0.029999999999999999,-0.39690653817093902,150.00212089234367,0
0.031,-0.42352010899356607,150.00222553045327,0
0.032000000000000001,-0.45097795943986563,150.00232853898945,0
0.033000000000000002,-0.47927829335073563,150.00242944808042,0
0.034000000000000002,-0.50841931452516398,150.00252777499651,0
0.035000000000000003,-0.53839922670647566,150.00262302425048,0
0.036000000000000004,-0.56921623356830042,150.00271468769856,0
0.036999999999999998,-0.60086853870026957,150.00280224464072,0
0.037999999999999999,-0.63335434559344483,150.00288516192069,0
0.039,-0.66667185762548642,150.00296289402621,0
0.040000000000000001,-0.7008192780455641,150.0030348831886,0
0.041000000000000002,-0.73579480995902014,150.00310055948248,0
0.042000000000000003,-0.77159665631178553,150.00315934092484,0
0.043000000000000003,-0.80822301987455714,150.00321063357455,0
0.043999999999999997,-0.8456721032267408,150.00325383163101,0
0.044999999999999998,-0.88394210874016732,150.00328831753288,0
0.045999999999999999,-0.92303123856258251,150.00331346205684,0
0.047,-0.96293769460091938,150.00332862441559,0
0.048000000000000001,-1.003659678504361,150.00333315235619,0
0.049000000000000002,-1.0451953916471912,150.00332638225777,0
0.050000000000000003,-1.087543035111445,150.00330763922935,0
0.051000000000000004,-1.1307008096693629,150.00327623720725,0
0.052000000000000005,-1.1746669157656504,150.00323147905243,0
0.052999999999999999,-1.2194395534995528,150.00317265664751,0
0.053999999999999999,-1.2650169226067474,150.00309905099368,0
0.055,-1.3113972224410573,150.00300993230741,0
0.056000000000000001,-1.358578651955995,150.00290456011675,0
0.057000000000000002,-1.4065594096861394,150.00278218335788,0
0.058000000000000003,-1.4553376937283495,150.00264204047102,0
0.059000000000000004,-1.50491170172282,150.00248335949607,0
0.059999999999999998,-1.5552796308339873,150.00230535816885,0
0.060999999999999999,-1.6064396777312901,150.00210724401609,0
0.062,-1.6583900385697763,150.00188821445084,0
0.063,-1.711128908970589,150.0016474568676,0
0.064000000000000001,-1.7646544840013023,150.00138414873717,0
0.065000000000000002,-1.8189649581561449,150.00109745770132,0
0.066000000000000003,-1.8740585253360846,150.0007865416674,0
0.067000000000000004,-1.9299333788288076,150.00045054890236,0
0.068000000000000005,-1.9865877112885717,150.00008861812717,0
0.069000000000000006,-2.0440197147159611,149.99969987861053,0
0.070000000000000007,-2.1022275804375239,149.99928345026268,0
0.071000000000000008,-2.161209499085321,149.99883844372877,0
0.072000000000000008,-2.2209636605763672,149.99836396048241,0
0.072999999999999995,-2.2814882540919914,149.99785909291867,0
0.073999999999999996,-2.3427814680571037,149.99732292444708,0
0.074999999999999997,-2.4048414901193778,149.99675452958434,0
0.075999999999999998,-2.4676665071283583,149.99615297404691,0
0.076999999999999999,-2.5312547051144976,149.99551731484337,0
0.078,-2.5956042692681134,149.9948466003668,0
0.079000000000000001,-2.6607133839182895,149.99413987048641,0
0.080000000000000002,-2.7265802325117106,149.99339615663968,0
0.081000000000000003,-2.7932029975914419,149.99261448192388,0
0.082000000000000003,-2.8605798607756565,149.99179386118746,0
0.083000000000000004,-2.9287090027363116,149.99093330112143,0
0.084000000000000005,-2.9975886031777828,149.99003180035027,0
0.085000000000000006,-3.0672168408154583,149.98908834952294,0
0.086000000000000007,-3.1375918933542954,149.98810193140363,0
0.087000000000000008,-3.2087119374673438,149.9870715209621,0
0.087999999999999995,-3.2805751487742443,149.98599608546411,0
0.088999999999999996,-3.3531797018197005,149.98487458456162,0
0.089999999999999997,-3.4265237700519293,149.98370597038274,0
0.090999999999999998,-3.5006055258011037,149.98248918762152,0
0.091999999999999998,-3.575423140257767,149.98122317362734,0
0.092999999999999999,-3.6509747834512569,149.97990685849476,0
0.094,-3.7272586242281101,149.97853916515248,0
0.095000000000000001,-3.8042728302304782,149.97711900945242,0
0.096000000000000002,-3.8820155678745345,149.97564530025863,0
0.097000000000000003,-3.9604850023289027,149.97411693953612,0
0.098000000000000004,-4.0396792974930769,149.97253282243926,0
0.099000000000000005,-4.1195966159758779,149.97089183740013,0
